QuestionNo,StepNo,SimTime,VehicleID,CommandID,CarrierID,VehicleState,CurrentEdgeID,Position,Speed,NextEdgeID,Action,Reason,RelatedVehicleID
1,2,0.4,OHT13,HOSTTRANSFER-20251001155204426,,前往取货,488,23888.5,710.0,489,运行,正常运行,
1,2,0.4,OHT14,HOSTTRANSFER-20251001155204398,,前往取货,483,8835.5,710.0,,运行,正常运行,
1,2,0.4,OHT15,HOSTTRANSFER-20251001155204412,,前往取货,483,20414.7,710.0,,运行,正常运行,
1,2,0.4,OHT16,HOSTTRANSFER-20251001155204422,,前往取货,454,5310.7,710.0,,运行,正常运行,
1,2,0.4,OHT17,HOSTTRANSFER-20251001155204414,,前往取货,454,14483.5,710.0,,运行,正常运行,
1,2,0.4,OHT18,HOSTTRANSFER-20251001155204420,,前往取货,454,23656.3,710.0,455,运行,正常运行,
1,2,0.4,OHT19,HOSTTRANSFER-20251001155204402,,前往取货,448,8805.5,710.0,449,运行,弯轨等待,
1,2,0.4,OHT20,HOSTTRANSFER-20251001155204397,,前往取货,448,20344.7,710.0,,运行,正常运行,
1,3,0.6,OHT01,HOSTTRANSFER-20251001155204405,,前往取货,650,3541.7,710.0,547,运行,弯轨等待,OHT03
1,3,0.6,OHT02,HOSTTRANSFER-20251001155204428,,前往取货,650,9317.1,710.0,547,运行,弯轨等待,OHT03
1,3,0.6,OHT03,HOSTTRANSFER-20251001155204403,,前往取货,650,15092.5,710.0,547,运行,汇流避让,
1,3,0.6,OHT04,HOSTTRANSFER-20251001155204423,,前往取货,539,8852.7,710.0,540,运行,弯轨等待,
1,3,0.6,OHT05,HOSTTRANSFER-20251001155204424,,前往取货,539,20265.5,710.0,541,运行,正常运行,
1,3,0.6,OHT06,HOSTTRANSFER-20251001155204418,,前往取货,515,5428.8,710.0,,运行,正常运行,
1,3,0.6,OHT07,HOSTTRANSFER-20251001155204421,,前往取货,515,14559.1,710.0,,运行,正常运行,
1,3,0.6,OHT08,HOSTTRANSFER-20251001155204401,,前往取货,515,23689.4,710.0,517,运行,正常运行,
1,3,0.6,OHT09,HOSTTRANSFER-20251001155204407,,前往取货,509,8852.7,710.0,510,运行,弯轨等待,
1,3,0.6,OHT10,HOSTTRANSFER-20251001155204404,,前往取货,509,20265.5,710.0,511,运行,正常运行,
1,3,0.6,OHT11,HOSTTRANSFER-20251001155204399,,前往取货,488,5503.7,710.0,,运行,正常运行,
1,3,0.6,OHT12,HOSTTRANSFER-20251001155204417,,前往取货,488,14767.1,710.0,,运行,正常运行,
1,3,0.6,OHT13,HOSTTRANSFER-20251001155204426,,前往取货,488,24030.5,710.0,489,运行,正常运行,
1,3,0.6,OHT14,HOSTTRANSFER-20251001155204398,,前往取货,483,8977.5,710.0,,运行,正常运行,
1,3,0.6,OHT15,HOSTTRANSFER-20251001155204412,,前往取货,483,20556.7,710.0,,运行,正常运行,
1,3,0.6,OHT16,HOSTTRANSFER-20251001155204422,,前往取货,454,5452.7,710.0,,运行,正常运行,
1,3,0.6,OHT17,HOSTTRANSFER-20251001155204414,,前往取货,454,14625.5,710.0,,运行,正常运行,
1,3,0.6,OHT18,HOSTTRANSFER-20251001155204420,,前往取货,454,23798.3,710.0,455,运行,正常运行,
1,3,0.6,OHT19,HOSTTRANSFER-20251001155204402,,前往取货,448,8947.5,710.0,449,运行,弯轨等待,
1,3,0.6,OHT20,HOSTTRANSFER-20251001155204397,,前往取货,448,20486.7,710.0,,运行,正常运行,
1,4,0.8,OHT01,HOSTTRANSFER-20251001155204405,,前往取货,650,3683.7,710.0,547,运行,弯轨等待,OHT03
1,4,0.8,OHT02,HOSTTRANSFER-20251001155204428,,前往取货,650,9459.1,710.0,547,运行,弯轨等待,OHT03
1,4,0.8,OHT03,HOSTTRANSFER-20251001155204403,,前往取货,650,15234.5,710.0,547,运行,汇流避让,
1,4,0.8,OHT04,HOSTTRANSFER-20251001155204423,,前往取货,539,8994.7,710.0,540,运行,弯轨等待,
1,4,0.8,OHT05,HOSTTRANSFER-20251001155204424,,前往取货,539,20407.5,710.0,541,运行,正常运行,
1,4,0.8,OHT06,HOSTTRANSFER-20251001155204418,,前往取货,515,5570.8,710.0,,运行,正常运行,
1,4,0.8,OHT07,HOSTTRANSFER-20251001155204421,,前往取货,515,14701.1,710.0,,运行,正常运行,
1,4,0.8,OHT08,HOSTTRANSFER-20251001155204401,,前往取货,515,23831.4,710.0,517,运行,正常运行,
1,4,0.8,OHT09,HOSTTRANSFER-20251001155204407,,前往取货,509,8994.7,710.0,510,运行,弯轨等待,
1,4,0.8,OHT10,HOSTTRANSFER-20251001155204404,,前往取货,509,20407.5,710.0,511,运行,正常运行,
1,4,0.8,OHT11,HOSTTRANSFER-20251001155204399,,前往取货,488,5645.7,710.0,,运行,正常运行,
1,4,0.8,OHT12,HOSTTRANSFER-20251001155204417,,前往取货,488,14909.1,710.0,,运行,正常运行,
1,4,0.8,OHT13,HOSTTRANSFER-20251001155204426,,前往取货,488,24172.5,710.0,489,运行,正常运行,
1,4,0.8,OHT14,HOSTTRANSFER-20251001155204398,,前往取货,483,9119.5,710.0,,运行,正常运行,
1,4,0.8,OHT15,HOSTTRANSFER-20251001155204412,,前往取货,483,20680.15,524.5,,减速,正常运行,
1,4,0.8,OHT16,HOSTTRANSFER-20251001155204422,,前往取货,454,5594.7,710.0,,运行,正常运行,
1,4,0.8,OHT17,HOSTTRANSFER-20251001155204414,,前往取货,454,14767.5,710.0,,运行,正常运行,
1,4,0.8,OHT18,HOSTTRANSFER-20251001155204420,,前往取货,454,23940.3,710.0,455,运行,汇流避让,
1,4,0.8,OHT19,HOSTTRANSFER-20251001155204402,,前往取货,448,9089.5,710.0,449,运行,弯轨等待,
1,4,0.8,OHT20,HOSTTRANSFER-20251001155204397,,前往取货,448,20606.427,487.274,,减速,正常运行,
1,5,1.0,OHT01,HOSTTRANSFER-20251001155204405,,前往取货,650,3825.7,710.0,547,运行,弯轨等待,OHT03
1,5,1.0,OHT02,HOSTTRANSFER-20251001155204428,,前往取货,650,9601.1,710.0,547,运行,弯轨等待,OHT03
1,5,1.0,OHT03,HOSTTRANSFER-20251001155204403,,前往取货,650,15376.5,710.0,547,运行,汇流避让,
1,5,1.0,OHT04,HOSTTRANSFER-20251001155204423,,前往取货,539,9136.7,710.0,540,运行,弯轨等待,
1,5,1.0,OHT05,HOSTTRANSFER-20251001155204424,,前往取货,539,20549.5,710.0,541,运行,正常运行,
1,5,1.0,OHT06,HOSTTRANSFER-20251001155204418,,前往取货,515,5712.8,710.0,,运行,正常运行,
1,5,1.0,OHT07,HOSTTRANSFER-20251001155204421,,前往取货,515,14843.1,710.0,,运行,正常运行,
1,5,1.0,OHT08,HOSTTRANSFER-20251001155204401,,前往取货,515,23973.4,710.0,517,运行,正常运行,
1,5,1.0,OHT09,HOSTTRANSFER-20251001155204407,,前往取货,509,9136.7,710.0,510,运行,弯轨等待,
1,5,1.0,OHT10,HOSTTRANSFER-20251001155204404,,前往取货,509,20549.5,710.0,511,运行,正常运行,
1,5,1.0,OHT11,HOSTTRANSFER-20251001155204399,,前往取货,488,5787.7,710.0,,运行,正常运行,
1,5,1.0,OHT12,HOSTTRANSFER-20251001155204417,,前往取货,488,15051.1,710.0,,运行,正常运行,
1,5,1.0,OHT13,HOSTTRANSFER-20251001155204426,,前往取货,488,24314.5,710.0,489,运行,正常运行,
1,5,1.0,OHT14,HOSTTRANSFER-20251001155204398,,前往取货,483,9261.5,710.0,,运行,正常运行,
1,5,1.0,OHT15,HOSTTRANSFER-20251001155204412,,取货,483,20726.0,0.0,,取货,Port作业,
1,5,1.0,OHT16,HOSTTRANSFER-20251001155204422,,前往取货,454,5736.7,710.0,,运行,正常运行,
1,5,1.0,OHT17,HOSTTRANSFER-20251001155204414,,前往取货,454,14909.5,710.0,,运行,正常运行,
1,5,1.0,OHT18,HOSTTRANSFER-20251001155204420,,前往取货,454,24082.3,710.0,455,运行,汇流避让,
1,5,1.0,OHT19,HOSTTRANSFER-20251001155204402,,前往取货,448,9231.5,710.0,449,运行,弯轨等待,
1,5,1.0,OHT20,HOSTTRANSFER-20251001155204397,,取货,448,20646.0,0.0,,取货,Port作业,
1,6,1.2,OHT01,HOSTTRANSFER-20251001155204405,,前往取货,650,3967.7,710.0,547,运行,弯轨等待,OHT03
1,6,1.2,OHT02,HOSTTRANSFER-20251001155204428,,前往取货,650,9743.1,710.0,547,运行,弯轨等待,OHT03
1,6,1.2,OHT03,HOSTTRANSFER-20251001155204403,,前往取货,650,15518.5,710.0,547,运行,汇流避让,
1,6,1.2,OHT04,HOSTTRANSFER-20251001155204423,,前往取货,539,9278.7,710.0,540,运行,弯轨等待,
1,6,1.2,OHT05,HOSTTRANSFER-20251001155204424,,前往取货,539,20691.5,710.0,541,运行,正常运行,
1,6,1.2,OHT06,HOSTTRANSFER-20251001155204418,,前往取货,515,5854.8,710.0,,运行,正常运行,
1,6,1.2,OHT07,HOSTTRANSFER-20251001155204421,,前往取货,515,14985.1,710.0,,运行,正常运行,
1,6,1.2,OHT08,HOSTTRANSFER-20251001155204401,,前往取货,515,24115.4,710.0,517,运行,正常运行,
1,6,1.2,OHT09,HOSTTRANSFER-20251001155204407,,前往取货,509,9278.7,710.0,510,运行,弯轨等待,
