h,ice_speed,relative_speed,cd,wind_scale,velocity_length,stress_length,forcing_time,inertia,coriolis,drag,vp_internal,wind,ice_strength,concentration,eta_inertia,eta_vp
0.3560667813185433,0.11166992785092172,0.03909162612392102,0.01436449671078111,1.4292452911326055,6215.328018823463,1189.5785723595366,32161.236971737362,0.001133716026353634,0.005104639369510193,0.022499960338624156,3.819226883028294e-06,0.1807868182019796,0.004543270463029961,0.3560667813185433,0.005440220428878319,1.83271793115571e-05
0.2653961565910198,0.04825684729843473,0.16220473582272132,0.009439947602757248,0.6439178067439959,16271.166957146916,15487.157658051625,51551.54799030005,0.00022781441431848258,0.0016441859997669895,0.2545777882484784,3.566194308426071e-08,0.08144987581004631,0.0005523021349384095,0.2653961565910198,0.0006746620727176246,1.0561124084848776e-07
0.4424133624563895,0.13994555327920727,0.0833324822415221,0.00790613941814057,1.1436120956129958,16426.94895426814,637.9526032058701,29648.348845563152,0.0019149443738497797,0.007948491434204546,0.05627519010219893,4.9759250340169e-05,0.14465675927421284,0.03174404328808339,0.4424133624563895,0.009165474274619383,0.00023821881142659836
0.2583266484950878,0.156121637529045,0.044742632708457145,0.011792221527552237,1.2351922855253967,12916.64773469605,1569.311473519858,35386.69913826467,0.0010451090040177154,0.005177614104861287,0.024197057940006393,2.9739741220337905e-07,0.15624083882117137,0.00046670917116587736,0.2583266484950878,0.005630495666265414,1.6022228466564628e-06
0.4295202252392559,0.16463940678205774,0.04757160010817033,0.007314276843616595,1.345993503924733,7473.481756044708,596.7200146424731,53920.77028363459,0.0014285569582309912,0.009078514313720754,0.01696644207215184,3.990787965596459e-05,0.17025620752771772,0.023813830532657242,0.4295202252392559,0.0072758946723857545,0.00020329925131534914
0.29556688544243387,0.05951717125262759,0.03251544695132697,0.011880446961683102,0.8092583870099302,7359.703361142082,1127.075177965861,27255.29796220919,0.0005918565502398374,0.00225837172787408,0.012874669860704442,9.978025370355802e-07,0.10236398874181596,0.0011245984720041644,0.29556688544243387,0.005037161556194277,8.492151114201087e-06
0.6002395251348808,0.10026902173261473,0.23132170105567154,0.007454795214524661,1.0148606537811249,16369.763909592835,2476.3215649748404,47144.31566644433,0.0011706615849891861,0.007726605502183434,0.40887667636991776,0.00040851893227619127,0.12837084694543707,1.0116242416960288,0.6002395251348808,0.002146495840707803,0.0007496116066327372
0.5209862325267339,0.12116101881162833,0.17743339233452152,0.006488825555452201,0.8888665798519104,9635.643283624608,3868.8991075673853,53698.55959547433,0.0010779431640268503,0.008103759332764197,0.20939228488398537,4.651019147194486e-05,0.11243371713343876,0.17994323827859568,0.5209862325267339,0.003266729328720101,0.00014096997882703522
0.23859095845040001,0.12543812494419537,0.13014056911765143,0.007866702432436258,1.1561484591082716,5692.586952101385,2395.674426021286,25960.882470561857,0.0010571422248020425,0.0038422083073855746,0.1365658120248268,1.2124987094599565e-07,0.1462424977630473,0.0002904752149837031,0.23859095845040001,0.0036879116237701136,4.229884939740518e-07
0.24569439790780198,0.11060736242359895,0.1846103295184706,0.008786467100470185,0.8961353203121116,6041.730798185817,2177.645162907913,16683.840347661284,0.0014936629230690303,0.0034888047238386694,0.3069376386058782,1.5832989745083573e-07,0.113353148156433,0.00034478633532751833,0.24569439790780198,0.0035246208053060415,3.7361378563698544e-07
0.42045007059379025,0.16951115529196992,0.09311913876557634,0.00623009146760206,0.6730488643963433,7114.286577146358,512.6325152245272,23939.001464921294,0.0027300840511818836,0.009149768054084191,0.055372762358650296,3.792901447272072e-05,0.08513469552329012,0.019443646089138317,0.42045007059379025,0.018237624671851877,0.0002534392458198747
0.7602151618466291,0.12505349268657429,0.0550157484108188,0.0050161973917561995,1.1211776921862213,8307.35952608788,989.1151359444005,27667.766390019213,0.003150848983441425,0.012204773504572159,0.015562255240223019,0.031762526656225656,0.1418190067631851,31.41679587151029,0.7602151618466291,0.015648728501332965,0.1872944700964541
0.34869914562168347,0.08883138645056479,0.09393214293212562,0.006410274766518042,1.3466045709654648,7570.340147023842,716.1258496199637,15922.746338395964,0.0017838925136144405,0.003976625518494483,0.05797342666932617,5.361720793850706e-06,0.17033350207378856,0.0038396668589213627,0.34869914562168347,0.007679628216740125,2.308265348743573e-05
