step,time_seconds,time_hours,F_I_abs_median,F_I_abs_p95,F_I_abs_maximum,F_C_abs_median,F_C_abs_p95,F_C_abs_maximum,F_sigma_abs_median,F_sigma_abs_p95,F_sigma_abs_maximum,F_D_abs_median,F_D_abs_p95,F_D_abs_maximum,F_W_abs_median,F_W_abs_p95,F_W_abs_maximum,combined_missing_abs_median,combined_missing_abs_p95,combined_missing_abs_maximum,undirected_IC_abs_sum_median,undirected_IC_abs_sum_p95,undirected_IC_abs_sum_maximum,retained_abs_sum_median,retained_abs_sum_p95,retained_abs_sum_maximum,retained_net_abs_median,retained_net_abs_p95,retained_net_abs_maximum,r_IC_corrected_median,r_IC_corrected_p95,r_IC_corrected_maximum,r_Sigma_median,r_Sigma_p95,r_Sigma_maximum,r_net_corrected_median,r_net_corrected_p95,r_net_corrected_maximum,deprecated_FI_plus_FC_abs_median,deprecated_FI_plus_FC_abs_p95,deprecated_FI_plus_FC_abs_maximum,r_IC_deprecated_FI_plus_FC_median,r_IC_deprecated_FI_plus_FC_p95,r_IC_deprecated_FI_plus_FC_maximum,r_net_deprecated_FI_plus_FC_median,r_net_deprecated_FI_plus_FC_p95,r_net_deprecated_FI_plus_FC_maximum,active_center_count_median,active_center_count_p95,active_center_count_maximum
12,3600.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.410939128712891e-05,0.0019872302778762493,0.025191435401066158,0.0632455871194523,0.06344616752459925,0.06357508682794431,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.12651320562598178,0.12692941936162497,0.12715574523314896,3.128539995077983e-08,3.5362683332663967e-06,3.0754659784159806e-05,0.0,0.0,0.0,2.4808096317928033e-07,2.7964067467214875e-05,0.00025274409474879887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
13,3900.0,1.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,7.118590745190735e-05,0.0018945186844389079,0.02847678281502863,0.06324558322098375,0.063464964988364,0.06359185144939734,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.12651183606956826,0.12696100079476275,0.12732666542813195,2.701925508108989e-08,3.0502839370532978e-06,2.150915873192298e-05,0.0,0.0,0.0,2.2102362634946772e-07,2.4100509280714625e-05,0.00017301502992365394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
14,4200.0,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,6.552510243520234e-05,0.0018034448612304348,0.030448136263486122,0.06324558588157696,0.06346942368223761,0.06360461273014834,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.12651018723726767,0.12700857643258934,0.12771892130121626,3.715910175165952e-08,3.41992576685929e-06,2.6095755032324534e-05,0.0,0.0,0.0,2.937224454416388e-07,2.777483137584326e-05,0.00021446060502446556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
15,4500.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,6.265742396573382e-05,0.0018106072597521205,0.031169895439855395,0.0632455774548932,0.06347667891062304,0.06361573193695438,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.12650947564550058,0.1270560685614414,0.12816354713725295,1.548393822551394e-08,1.96052938467677e-06,7.506743571256037e-05,0.0,0.0,0.0,1.270585262251814e-07,1.548888151342612e-05,0.0006169699820545272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
16,4800.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,6.096834961658173e-05,0.001797958154980129,0.03374674882747401,0.06324556705260478,0.0634858535810373,0.06362721852129426,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.126508256203069,0.12708220326370345,0.12848305398669835,7.883598030331192e-09,1.4105856717006374e-06,4.7073603165453606e-05,0.0,0.0,0.0,6.316528915107314e-08,1.1249875870943922e-05,0.000386889301062513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
17,5100.0,1.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,5.3836009883412554e-05,0.0018102339945025602,0.03485336810765586,0.06324554835202895,0.0634916500836445,0.06363945723495029,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.12650739759651025,0.12710426042018796,0.12856342100560358,5.979160479494264e-09,1.3627373363802073e-06,1.4821544411718412e-05,0.0,0.0,0.0,4.7260326830249074e-08,1.1630091954726442e-05,0.00017325071847827252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
18,5400.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,4.818666133405418e-05,0.00260690007922405,0.03537572296080446,0.0632455411721726,0.06349063705484888,0.06365196342439167,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.1265073310982724,0.1271071353941854,0.12855045412761812,5.006444499804434e-09,7.225766090373461e-07,7.63180413971818e-06,0.0,0.0,0.0,3.953794384510722e-08,6.136491932817321e-06,0.00010541713501964416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
19,5700.0,1.5833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,4.433526028816708e-05,0.0043221604917384375,0.03567627695275073,0.06324553335357287,0.06349489060991273,0.06366400858526979,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.1265065626702544,0.12712112172217016,0.1284086271625785,6.764427698955649e-09,7.155910327640203e-07,2.9835121173521644e-05,0.0,0.0,0.0,5.386617995971177e-08,6.177784017612762e-06,0.00024521089531331794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
20,6000.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,4.1515775995003564e-05,0.006955469754440919,0.0375403476560007,0.06324551575184231,0.06349877410786024,0.06367510205076517,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.12650517753686658,0.1271147102849371,0.1280729976235533,7.396937086055755e-09,7.688861719324487e-07,4.2032997549641855e-05,0.0,0.0,0.0,5.847128751216659e-08,6.796072005100688e-06,0.0006539315426309482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
21,6300.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,3.946001926708603e-05,0.01063343338166713,0.04161807556515439,0.06324547344256742,0.06350159785877527,0.0636854175031825,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.12650406997386193,0.1271202130498851,0.12774951975120025,5.4389564498128e-09,1.0398827128541376e-06,0.0004514258858643798,0.0,0.0,0.0,4.3333481015663214e-08,8.616410949022736e-06,0.0070991867712514225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
22,6600.0,1.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,3.733435191146002e-05,0.015222570143447632,0.045985680759466,0.06324537597896471,0.06350279541700095,0.06369524868134482,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.12650340568667592,0.127127064835542,0.127496664455923,2.9946660505390318e-09,6.801758804759116e-07,9.928859948059902e-06,0.0,0.0,0.0,2.373623636693692e-08,5.645940115140099e-06,0.00013758549167522716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
23,6900.0,1.9166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,3.534950260645761e-05,0.020400365745645205,0.050155491267695924,0.06324508972149763,0.06350336912295862,0.06370470949881894,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.12650279986802715,0.12713812363183585,0.1274880940032338,9.121837747867218e-09,2.436427641107784e-07,0.0016491871600894353,0.0,0.0,0.0,7.210665598208042e-08,2.1397598832208775e-06,0.026664059037057913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
24,7200.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.480302980803481e-05,0.02455996845391416,0.05495679924983369,0.0632443247355148,0.06350315912137623,0.06371380161031198,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.12650184577306578,0.12712468893831297,0.1276305083253125,1.0181528666510476e-08,2.4788328211257114e-06,0.0004854689257487419,0.0,0.0,0.0,8.049004483764702e-08,2.2263515724067316e-05,0.00773024793069754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
25,7500.0,2.0833333333333335,0.0,0.0,0.0,0.0,0.0,0.0,3.380829081582937e-05,0.026817722903802056,0.05737439629390039,0.06324351524661975,0.06350212331275719,0.06372221769580297,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.12650128198057317,0.12711778090813122,0.1279305431073702,3.5210575046898625e-09,1.2018090686212086e-06,1.3350492072795304e-05,0.0,0.0,0.0,2.7835239460747785e-08,9.429876502966064e-06,0.00011329114950858974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
26,7800.0,2.1666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,3.2781955946064125e-05,0.02830434067308131,0.058769047991962024,0.06324279844242331,0.06350021891473842,0.06373308109086424,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.12650016053477348,0.1271603496034642,0.12840758844803318,3.6682478599249656e-09,1.2126436636656425e-06,0.0002605070155803721,0.0,0.0,0.0,2.8995599384209114e-08,1.1724258397832448e-05,0.004102833553642886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
27,8100.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,3.3232634355935385e-05,0.029510414671956385,0.05953273283449483,0.0632412638905391,0.0635006194899023,0.06374337143019375,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.1264993371764858,0.12719462153147715,0.12903859080614605,2.348910015589707e-09,8.483767400270427e-07,0.0002033156985852027,0.0,0.0,0.0,1.8566306297570447e-08,8.081020545205202e-06,0.00320487466212233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
28,8400.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,3.284490067706639e-05,0.03063368001713801,0.05988920582019546,0.06324026126593904,0.06350121183797326,0.06375256283708701,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.12649896540830952,0.12720680508841095,0.12963446260648598,4.5761298136788e-09,1.5442315137609725e-06,3.897749681057498e-05,0.0,0.0,0.0,3.605497057257078e-08,1.4585935535868751e-05,0.0006129409795023056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
29,8700.0,2.4166666666666665,0.0,0.0,0.0,0.0,0.0,0.0,3.371808996147476e-05,0.031204631898025834,0.0599670285526781,0.06323881648785101,0.06350163688419051,0.06376105039706453,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.12649853216810175,0.12722785134158274,0.13010805232245165,2.978620560991777e-09,7.64758935774966e-07,0.0003499606770401822,0.0,0.0,0.0,2.3826302283761597e-08,6.619210203343545e-06,0.005563506456756205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
30,9000.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,3.476360938826593e-05,0.031083085679740417,0.059968311471993406,0.06323833406837084,0.06350158543651994,0.06376885564961941,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.12649851038771848,0.12723810343087139,0.13032259244224728,5.116165941288952e-09,6.406240913617653e-07,0.0005500287155989207,0.0,0.0,0.0,4.062647602833607e-08,5.627278763230921e-06,0.00877274247515749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
31,9300.0,2.5833333333333335,0.0,0.0,0.0,0.0,0.0,0.0,3.5737229935678516e-05,0.03131509590576924,0.06029246264540171,0.06323810784540651,0.06349829999235529,0.06377625062271496,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.1264984839882971,0.12724225757535415,0.1303970086217841,1.946050300964601e-09,7.462212676278399e-07,0.0003054222080393446,0.0,0.0,0.0,1.5383087198946077e-08,5.8346656889095536e-06,0.004539105317790193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
32,9600.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,3.657553346089283e-05,0.031458559858437665,0.06071536060386958,0.06323781245957955,0.0634946803489983,0.06378346144641081,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.1264986160410541,0.12724714566792947,0.13033459848428533,1.8595472769536288e-09,1.0150440984807394e-06,7.85526162370311e-05,0.0,0.0,0.0,1.4687757900338763e-08,8.023560742488134e-06,0.0010879266988013012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
33,9900.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,3.807876225015512e-05,0.03152014077681451,0.06127518956434219,0.06323777721007012,0.06349116616285629,0.06379078776189309,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.12649856622618097,0.12725452585425928,0.1301577198473777,3.1922473499628646e-09,1.929690354116003e-06,6.862228386478688e-05,0.0,0.0,0.0,2.5231708898689867e-08,1.6714693901929954e-05,0.0010759314638302889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
34,10200.0,2.8333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,3.956378693945719e-05,0.031549974404027244,0.061945072194400035,0.06323674146865173,0.06348912488691867,0.06379865326224347,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.12649836349654373,0.1272828555015086,0.12988558489709814,2.3688087802745886e-09,3.7460140789019167e-06,0.0002719964505664436,0.0,0.0,0.0,1.889517387794633e-08,3.4153214036207435e-05,0.0041058948506786045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
35,10500.0,2.9166666666666665,0.0,0.0,0.0,0.0,0.0,0.0,4.091868820691805e-05,0.03176392531858484,0.06221068079135216,0.0632346193818301,0.06348758924087906,0.06380707188036164,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.1264984415262409,0.1273339609795744,0.12960450986130995,9.316797235256888e-10,1.4831630185155978e-06,0.00022885743556933617,0.0,0.0,0.0,7.465767557128509e-09,1.2001339265407221e-05,0.002272946458134313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
36,10800.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1644481314632264e-05,0.0334108805837367,0.0624318891878674,0.06323264243644397,0.06348305227135069,0.06381636150949012,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.12649848358472476,0.1273214241289832,0.12930689992156696,3.191532336791751e-09,1.523651120570963e-06,0.00024201202435814137,0.0,0.0,0.0,2.5228555608522618e-08,1.243543638719954e-05,0.0019930441512075827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
37,11100.0,3.0833333333333335,0.0,0.0,0.0,0.0,0.0,0.0,4.2863394147818434e-05,0.03431929780530796,0.06282022564480574,0.06323201347018645,0.06348248409026232,0.06382578332576667,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.12649864603345354,0.12735496873945795,0.1290419946954356,4.267163427064127e-09,1.6211257200211768e-06,0.00020156097314512879,0.0,0.0,0.0,3.366477087718217e-08,1.3921630041309786e-05,0.0017873407200436615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
38,11400.0,3.1666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,4.451370812067986e-05,0.03485091490401978,0.06307992723567454,0.06323205589507795,0.06348168241287704,0.0638330727470245,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.12649855652053554,0.12733707819012272,0.12891819616324893,4.89958694810877e-09,2.7367449782931508e-06,0.0003043151103012905,0.0,0.0,0.0,3.8732649384995524e-08,2.3205471850666757e-05,0.0031222321542043754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
39,11700.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,4.597770774882462e-05,0.03495058041298788,0.06303371507444071,0.06323104509842047,0.06348225608323257,0.06383874224387984,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.12649855675020552,0.12731546278288547,0.12910214396483582,2.358320449965366e-09,2.981804291216871e-06,0.00012759031024231653,0.0,0.0,0.0,1.8642873391556534e-08,2.828795971965436e-05,0.0018605835025103502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
40,12000.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,4.809145748370071e-05,0.035031846447878066,0.06305675535671869,0.06322880276803916,0.06348032601484975,0.06384264530471678,0.06324555320336758,0.06324555320336758,0.06324555320336758,0.0,0.0,0.0,0.0,0.0,0.0,0.1264985318828429,0.1273355021908868,0.12961521845868337,4.531941658661755e-09,4.370309995596928e-06,0.00031285506772039517,0.0,0.0,0.0,3.582465705180237e-08,3.8834581038697904e-05,0.0040417886909020016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,800.0
