step,time_hours,attempt_index,stage,accepted,converged,message,failure_reason,preconditioner,outer_aitken_initial,coupling_iterations,picard_iterations,gmres_iterations,ice_residual,gmres_residual,coupling_residual,water_residual,helmholtz_residual,attempt_total_seconds,outer_coupling_seconds,coupling_overhead_seconds,ice_solve_seconds,matrix_assembly_seconds,preconditioner_build_seconds,gmres_seconds,ice_residual_evaluation_seconds,ocean_solve_seconds,thickness_transport_seconds,force_budget_seconds,postprocess_seconds,ilu_builds,ilu_reuses,ilu_rebuilds,preconditioner_fallbacks,initial_guess_strategy,initial_guess_fallback_reason,outer_acceleration,acceleration_fallbacks,acceleration_history_clears,acceleration_clear_reasons,cache_invalidation_reason,active_center_count_before,active_center_count_after,active_center_mask_changes,active_u_mask_changes,active_v_mask_changes
11,0.9166666666666666,1,standard,True,True,converged,,ilu,0.5,12,12,38,4.1404316638139596e-05,2.9180493612522384e-09,5.231270249885327e-06,3.187239667919627e-09,2.481720195206419e-14,0.5029119999962859,0.493750799971167,0.013426800083834678,0.39193130005151033,0.1987919999519363,0.08228089998010546,0.015467200137209147,0.08840540004894137,0.08839269983582199,0.00012169999536126852,0.008283300034236163,8.460000390186906e-05,12,0,0,0,two_state_linear_predictor,,protected_anderson,1,0,,no_cache_phase1,800,800,0,0,0
12,1.0,1,standard,True,True,converged,,ilu,0.5,9,11,37,3.931378609948531e-05,9.992503149711946e-09,6.30004902851703e-06,1.88256891477651e-09,2.5460597327509144e-14,0.4015480999951251,0.3919700999977067,0.007939900213386863,0.3182418998912908,0.15346930001396686,0.06236529990565032,0.014898200053721666,0.08160640008281916,0.06578829989302903,0.00017960002878680825,0.008576799998991191,8.639995940029621e-05,9,2,0,0,two_state_linear_predictor,,protected_anderson,2,1,coupling_residual_increased,no_cache_phase1,800,800,0,0,0
13,1.0833333333333333,1,standard,True,True,converged,,ilu,0.5,9,11,39,3.249815105673773e-05,7.806541659348574e-09,5.320253501712757e-06,4.124721604818941e-09,2.4082727320144735e-14,0.4177081999951042,0.40793649997795,0.006673899886664003,0.33672500000102445,0.16699149989290163,0.06491650018142536,0.016806199972052127,0.08204000006662682,0.06453760009026155,0.00012610002886503935,0.008902699977625161,9.06999921426177e-05,9,2,0,0,two_state_linear_predictor,,protected_anderson,2,1,coupling_residual_increased,no_cache_phase1,800,800,0,0,0
14,1.1666666666666667,1,standard,True,True,converged,,ilu,0.5,11,12,38,3.102120026052123e-05,6.687437046949123e-09,6.9736532480270894e-06,3.8403398282647515e-09,2.6683532582904966e-14,0.4591636000550352,0.44827779999468476,0.009287199936807156,0.3623265998903662,0.18037630000617355,0.07797550002578646,0.01499229995533824,0.08237460005329922,0.0766640001675114,0.00016629998572170734,0.009866800042800605,8.85000335983932e-05,11,1,0,0,two_state_linear_predictor,,protected_anderson,2,1,coupling_residual_increased,no_cache_phase1,800,800,0,0,0
15,1.25,1,standard,True,True,converged,,ilu,0.5,10,13,43,6.603694501402213e-05,6.4134927644371985e-09,7.360044705934682e-06,2.1437785575951924e-09,2.4363903569945808e-14,0.48794180003460497,0.47282470000209287,0.00835029996233061,0.3875732999877073,0.1906838000868447,0.0771177998976782,0.01639379997504875,0.09661810018587857,0.07690110005205497,0.00022749998606741428,0.013703099975828081,9.710004087537527e-05,11,2,1,0,two_state_linear_predictor,,protected_anderson,3,2,coupling_residual_increased|coupling_residual_increased,no_cache_phase1,800,800,0,0,0
16,1.3333333333333333,1,standard,True,True,converged,,ilu,0.5,11,16,50,4.26964151215049e-05,3.1821857676246236e-09,4.761716616049825e-06,5.96698785210655e-10,2.402349205188676e-14,0.7999814999639057,0.785352100036107,0.01174950017593801,0.657641299883835,0.3268593001412228,0.12158129987074062,0.030942600045818835,0.16576920013176277,0.11596129997633398,0.00012499996228143573,0.01363810000475496,0.000145500001963228,13,3,2,0,two_state_linear_predictor,,protected_anderson,5,4,coupling_residual_increased|coupling_residual_increased|coupling_residual_increased|coupling_residual_increased,no_cache_phase1,800,800,0,0,0
17,1.4166666666666667,1,standard,True,True,converged,,ilu,0.5,11,16,50,1.6442948037363517e-05,2.2807175637411694e-09,3.8675542264506205e-06,1.3835602036415688e-09,2.2915400259572456e-14,0.5989119000150822,0.5851010999758728,0.009990400227252394,0.4783312998479232,0.2360070999711752,0.09545320004690439,0.01971620012773201,0.11839110002620146,0.09677939990069717,0.00018350000027567148,0.012448499968741089,0.00013409997336566448,13,3,2,0,two_state_linear_predictor,,protected_anderson,5,4,coupling_residual_increased|coupling_residual_increased|coupling_residual_increased|coupling_residual_increased,no_cache_phase1,800,800,0,0,0
18,1.5,1,standard,True,True,converged,,ilu,0.5,9,16,47,5.938532375430836e-06,2.235645128129577e-09,3.738150905647272e-06,1.9409440787869195e-09,2.5875914667005984e-14,0.5406869999715127,0.5298138999496587,0.010033000144176185,0.4505855999304913,0.21374650014331564,0.08591769973281771,0.020129600074142218,0.1233306999783963,0.06919529987499118,0.00019450002582743764,0.009662299999035895,9.200000204145908e-05,12,4,3,0,two_state_linear_predictor,,protected_anderson,1,0,,no_cache_phase1,800,800,0,0,0
19,1.5833333333333333,1,standard,True,True,converged,,ilu,0.5,9,17,48,2.756525146368302e-05,1.3420852991771352e-09,9.704364436979723e-06,2.023240869082201e-09,2.2185454448414406e-14,0.5765462000272237,0.5641387000214309,0.005808699759654701,0.48922860011225566,0.2516578001668677,0.08619379985611886,0.019829300115816295,0.12430649989983067,0.06910140014952049,0.00011969998013228178,0.011355799972079694,0.0001629000180400908,12,5,3,0,two_state_linear_predictor,,protected_anderson,2,1,coupling_residual_increased,no_cache_phase1,800,800,0,0,0
20,1.6666666666666667,1,standard,True,True,converged,,ilu,0.5,9,17,49,4.503651530224294e-05,1.7303838767497194e-09,7.939741254551868e-06,2.0012893773733653e-09,2.299265550109505e-14,0.5838424999965355,0.5740281000034884,0.007938599970657378,0.5000817999825813,0.25424649991327897,0.08905810018768534,0.021734000009018928,0.1264721000334248,0.0660077000502497,0.00013260002015158534,0.008467699983157218,8.710002293810248e-05,12,5,3,0,two_state_linear_predictor,,protected_anderson,2,1,coupling_residual_increased,no_cache_phase1,800,800,0,0,0
21,1.75,1,standard,True,True,converged,,ilu,0.5,8,15,45,0.0002579022015207053,4.621674136756331e-09,5.783241105981422e-06,2.056975603760116e-09,2.408943212230069e-14,0.5102863000356592,0.49755809997441247,0.0070035000098869205,0.43061360000865534,0.20446059986716136,0.08765790000325069,0.019591899996157736,0.1114780999487266,0.05994099995587021,0.00012179999612271786,0.011821799969766289,0.00013840000610798597,11,4,3,0,two_state_linear_predictor,,protected_anderson,1,0,,no_cache_phase1,800,800,0,0,0
22,1.8333333333333333,1,standard,True,True,converged,,ilu,0.5,9,32,94,9.650449552990815e-06,1.8926524744582005e-09,1.5843402689582329e-06,2.1356089201283664e-09,2.5207219498610188e-14,1.006912199954968,0.9960040999576449,0.010213200002908707,0.9203204999794252,0.4455693999771029,0.16129099990939721,0.04462489997968078,0.2548649000818841,0.06547039997531101,0.00011960003757849336,0.010043299989774823,8.939998224377632e-05,21,11,12,0,two_state_linear_predictor,,protected_anderson,1,0,,no_cache_phase1,800,800,0,0,0
23,1.9166666666666667,1,standard,True,True,converged,,ilu,0.5,4,57,159,0.0009416298775982702,5.615880823804607e-09,9.824057857931343e-06,2.1780564760635557e-09,2.418861557478099e-14,1.6354067000211217,1.6251046999823302,0.0034216000349260867,1.59417910000775,0.8255664999596775,0.25312709994614124,0.07225970015861094,0.4232856997405179,0.027503999939654022,0.00013280002167448401,0.009316599986050278,9.099999442696571e-05,30,27,26,0,two_state_linear_predictor,,protected_anderson,1,0,,no_cache_phase1,800,800,0,0,0
24,2.0,1,standard,True,True,converged,,ilu,0.5,7,31,83,0.0002771390030353626,1.5568822993218958e-09,9.601742140140752e-06,2.208696752720414e-09,2.3472155345955386e-14,0.9733509999932721,0.955449300003238,0.005820600199513137,0.8990200998960063,0.4553343994775787,0.1497539000120014,0.04005669994512573,0.24162840005010366,0.0506085999077186,0.00018720002844929695,0.01687110000057146,0.00011270004324615002,18,13,11,0,two_state_linear_predictor,,protected_anderson,2,1,coupling_residual_increased,no_cache_phase1,800,800,0,0,0
25,2.0833333333333335,1,standard,True,True,converged,,ilu,0.5,12,23,65,1.423483198803629e-05,3.5624332885557307e-09,7.693980024513935e-06,2.2638114930633196e-09,2.2739886988076384e-14,0.8238113000406884,0.8124107000185177,0.010994800017215312,0.7003773000324145,0.3608168999198824,0.12449350010138005,0.02862459991592914,0.17515610007103533,0.10103859996888787,0.00012470001820474863,0.01032100000884384,0.00010360003216192126,17,6,5,0,two_state_linear_predictor,,protected_anderson,2,1,anderson_step_guard,no_cache_phase1,800,800,0,0,0
26,2.1666666666666665,1,standard,True,True,converged,,ilu,0.5,10,15,41,0.00014940202008712072,5.053329932774776e-09,9.615143189401095e-06,2.3353009969286448e-09,2.4444387282227292e-14,0.5432720999815501,0.5330699000041932,0.007947599980980158,0.44846530008362606,0.2233017000835389,0.08440660004271194,0.01853649999247864,0.11450969992438331,0.07665699993958697,0.00012229999992996454,0.009108700032811612,0.00020589999621734023,12,3,2,0,two_state_linear_predictor,,protected_anderson,2,1,coupling_residual_increased,no_cache_phase1,800,800,0,0,0
