step,time_hours,accepted_attempt_total_seconds,accepted_outer_coupling_seconds,accepted_coupling_overhead_seconds,accepted_ice_solve_seconds,accepted_matrix_assembly_seconds,accepted_preconditioner_build_seconds,accepted_gmres_seconds,accepted_ice_residual_evaluation_seconds,accepted_ocean_solve_seconds,accepted_thickness_transport_seconds,accepted_force_budget_seconds,accepted_postprocess_seconds,output_capture_seconds,all_attempts_total_seconds
40,3.3333333333333335,0.8771152999834158,0.8672723000054248,0.011013900104444474,0.7440255999099463,0.38702040014322847,0.1282734001870267,0.02648639987455681,0.19068649999098852,0.11223279999103397,0.00016759999562054873,0.008704800042323768,8.589995559304953e-05,0.00018370000179857016,0.8771152999834158
41,3.4166666666666665,0.5511055000242777,0.5385047000017948,0.011365800106432289,0.4243058998254128,0.2067697000456974,0.08777269988786429,0.014717400015797466,0.10663750005187467,0.10283300006994978,0.00020049995509907603,0.011234100034926087,9.250000584870577e-05,0.00018690002616494894,0.5511055000242777
42,3.5,0.4081084000063129,0.3971858999575488,0.007921699900180101,0.308008199906908,0.14323310018517077,0.06926679995376617,0.011265000037383288,0.0778369001345709,0.08125600015046075,0.00011790002463385463,0.009923000005073845,0.00020589999621734023,0.0002133999951183796,0.4081084000063129
43,3.5833333333333335,0.3903306000283919,0.38080089999129996,0.008413099974859506,0.29909240000415593,0.14962810004362836,0.06427709996933118,0.009548199945129454,0.06993890000740066,0.07329540001228452,0.00014249997911974788,0.008576099993661046,8.480000542476773e-05,0.0002590999938547611,0.3903306000283919
44,3.6666666666666665,0.39546500000869855,0.3854538000305183,0.007801100087817758,0.3007319999160245,0.14095629996154457,0.06750559998909011,0.010644200025126338,0.07504050014540553,0.07692070002667606,0.00013399997260421515,0.009096399997361004,0.0001200000406242907,0.00020399998174980283,0.39546500000869855
45,3.75,0.4830418999772519,0.47300220001488924,0.010460699908435345,0.37529719999292865,0.176305599801708,0.07759579987032339,0.015516600105911493,0.09881039999891073,0.08724430011352524,0.00012820004485547543,0.009010099980514497,8.939998224377632e-05,0.00017339998157694936,0.4830418999772519
46,3.8333333333333335,0.6284446999779902,0.6186428000219166,0.010167599888518453,0.5111379001173191,0.25200500019127503,0.09697589988354594,0.020088800112716854,0.1325418998603709,0.0973373000160791,0.00012560002505779266,0.008908000017981976,9.060004958882928e-05,0.0001805999781936407,0.6284446999779902
47,3.9166666666666665,0.6397335000219755,0.6297819000319578,0.00782419997267425,0.5294957000296563,0.2627648002235219,0.10829790000570938,0.020926399796735495,0.12877309985924512,0.09246200002962723,0.00026790000265464187,0.008715400006622076,8.700002217665315e-05,0.00017030001617968082,0.6397335000219755
48,4.0,0.7304108000244014,0.7194622000097297,0.009293399925809354,0.5962406999897212,0.2877913000411354,0.11699560022680089,0.022087199904490262,0.15909140015719458,0.11392810009419918,0.0001941000227816403,0.010005399992223829,9.159999899566174e-05,0.00018909998470917344,0.7304108000244014
49,4.083333333333333,0.8237230000086129,0.8139066000003368,0.009959200047887862,0.7057893999735825,0.35595599992666394,0.12857919983798638,0.02788820001296699,0.18133380002109334,0.09815799997886643,0.00012400001287460327,0.008922100008931011,9.290000889450312e-05,0.00019689998589456081,0.8237230000086129
