record_type,step,stage,coupling_iteration,picard_iteration,ice_residual,gmres_residual,gmres_iterations,inner_relaxation,preconditioner,matrix_assembly_seconds,preconditioner_build_seconds,gmres_seconds,ice_residual_evaluation_seconds,ilu_builds,ilu_reuses,ilu_rebuilds,cache_invalidation_reason,preconditioner_fallbacks,outer_aitken_factor_applied,outer_acceleration_method,acceleration_fallback_reason,acceleration_history_cleared,acceleration_history_depth,coupling_residual,water_fixed_point_residual,water_equation_residual,water_residual_xi,water_residual_u,water_residual_v,helmholtz_residual,ocean_coriolis_iterations,drag_object_reused,ice_solve_seconds,ocean_solve_seconds,coupling_iteration_seconds,coupling_overhead_seconds
ice_picard,1,standard,1,21,0.0015756245011619384,5.477624730905679e-09,3,0.5,ilu,0.0191752000246197,0.007452399993781,0.0010239999974146485,0.006230300001334399,1,0,1,matrix_drift_exceeded,0,,,,,,,,,,,,,,,,,,
ice_picard,1,standard,1,22,0.0013281707595103618,5.63504550027566e-09,3,0.5,ilu,0.01297589996829629,0.008815100009087473,0.0010400000028312206,0.006361800013110042,1,0,1,matrix_drift_exceeded,0,,,,,,,,,,,,,,,,,,
ice_picard,1,standard,1,23,0.0011232762151058072,3.5693053261396557e-11,6,0.5,ilu,0.012706400011666119,0.0006986999651417136,0.001840100041590631,0.007699099951423705,0,1,0,reuse,0,,,,,,,,,,,,,,,,,,
ice_picard,1,standard,1,24,0.0009527142838333001,3.360732490046651e-09,3,0.5,ilu,0.023020400025416166,0.008516100002452731,0.001046899997163564,0.006489099992904812,1,0,1,pattern_changed,0,,,,,,,,,,,,,,,,,,
ice_picard,1,standard,2,1,0.20447494640310043,2.391230093864925e-09,6,0.5,ilu,0.015815699996892363,0.009773399971891195,0.0029895000043325126,0.010407800029497594,1,0,0,new_picard_round,0,,,,,,,,,,,,,,,,,,
ice_picard,1,standard,2,2,0.023513880387552356,8.947472350930365e-09,4,0.5,ilu,0.014175700023770332,0.011063499958254397,0.002050700015388429,0.012337899999693036,1,0,1,matrix_drift_exceeded,0,,,,,,,,,,,,,,,,,,
ice_picard,1,standard,2,3,0.004269309779090332,2.692295302018713e-09,4,0.5,ilu,0.015898599987849593,0.007312500034458935,0.0013557999627664685,0.0070100000011734664,1,0,1,matrix_drift_exceeded,0,,,,,,,,,,,,,,,,,,
ice_picard,1,standard,2,4,0.002895538583787708,1.2765506610318004e-09,4,0.5,ilu,0.01773020002292469,0.009376299974974245,0.0012855000095441937,0.006524599972181022,1,0,1,matrix_drift_exceeded,0,,,,,,,,,,,,,,,,,,
ice_picard,1,standard,2,5,0.0022351199879959206,9.606934005551378e-10,4,0.5,ilu,0.01956760004395619,0.008561800001189113,0.0012527999933809042,0.006995200004894286,1,0,1,matrix_drift_exceeded,0,,,,,,,,,,,,,,,,,,
ice_picard,1,standard,2,6,0.001848883781401117,6.669331679930189e-10,4,0.5,ilu,0.015034299984108657,0.008735899988096207,0.0013787000207230449,0.009833000018261373,1,0,1,matrix_drift_exceeded,0,,,,,,,,,,,,,,,,,,
ice_picard,1,standard,2,7,0.0015785560334128047,2.489038159362716e-10,4,0.5,ilu,0.018720799998845905,0.007423000002745539,0.0030208999523893,0.006705200008582324,1,0,1,matrix_drift_exceeded,0,,,,,,,,,,,,,,,,,,
ice_picard,1,standard,2,8,0.0013581484260473393,1.5027341844455505e-10,4,0.5,ilu,0.016647000040393323,0.010616299987304956,0.0017076999647542834,0.008340800006408244,1,0,1,matrix_drift_exceeded,0,,,,,,,,,,,,,,,,,,
ice_picard,1,standard,2,9,0.0011702270464709309,6.629501457904958e-09,3,0.5,ilu,0.01938080001855269,0.007107099983841181,0.0010206999722868204,0.006866999960038811,1,0,1,matrix_drift_exceeded,0,,,,,,,,,,,,,,,,,,
ice_picard,1,standard,2,10,0.0010074305637651191,3.05891135357196e-09,3,0.5,ilu,0.012706900015473366,0.007101499999407679,0.0010287999757565558,0.006856199994217604,1,0,1,matrix_drift_exceeded,0,,,,,,,,,,,,,,,,,,
ice_picard,1,standard,2,11,0.0008666599544959218,2.489223243643378e-09,3,0.5,ilu,0.012317000015173107,0.008380500017665327,0.00102530000731349,0.006389899994246662,1,0,1,matrix_drift_exceeded,0,,,,,,,,,,,,,,,,,,
ice_picard,1,standard,3,1,0.0007397896968527049,4.5761256566953945e-09,3,0.5,ilu,0.01716119999764487,0.008034200000111014,0.0015720999799668789,0.007347200007643551,1,0,0,new_picard_round,0,,,,,,,,,,,,,,,,,,
ice_picard,1,standard,4,1,0.0006390708249949743,2.624803734534655e-09,3,0.5,ilu,0.01678519998677075,0.008756799972616136,0.001417500025127083,0.008558499976061285,1,0,0,new_picard_round,0,,,,,,,,,,,,,,,,,,
