step,time_hours,chi,ice_inertia_weight,ice_coriolis_weight,retry_stage,retry_attempts,coupling_iterations,picard_iterations,gmres_iterations,thickness_substeps,all_attempts_coupling_iterations,all_attempts_picard_iterations,all_attempts_gmres_iterations
77,6.416666666666667,0.0,0.0,0.0,standard,1,10,22,59,1,10,22,59
78,6.5,0.0,0.0,0.0,standard,1,11,18,49,1,11,18,49
79,6.583333333333333,0.0,0.0,0.0,standard,1,12,22,60,1,12,22,60
80,6.666666666666667,0.0,0.0,0.0,standard,1,18,31,82,1,18,31,82
81,6.75,0.0,0.0,0.0,standard,1,14,39,108,1,14,39,108
82,6.833333333333333,0.0,0.0,0.0,standard,1,7,23,67,1,7,23,67
83,6.916666666666667,0.0,0.0,0.0,standard,1,11,21,58,1,11,21,58
84,7.0,0.0,0.0,0.0,standard,1,16,27,69,1,16,27,69
85,7.083333333333333,0.0,0.0,0.0,standard,1,10,28,72,1,10,28,72
86,7.166666666666667,0.0,0.0,0.0,standard,1,10,36,93,1,10,36,93
87,7.25,0.0,0.0,0.0,standard,1,9,17,43,1,9,17,43
88,7.333333333333333,0.0,0.0,0.0,standard,1,7,22,62,1,7,22,62
89,7.416666666666667,0.0,0.0,0.0,standard,1,7,32,87,1,7,32,87
90,7.5,0.0,0.0,0.0,standard,1,10,16,40,1,10,16,40
91,7.583333333333333,0.0,0.0,0.0,standard,1,10,11,30,1,10,11,30
92,7.666666666666667,0.0,0.0,0.0,standard,1,10,14,38,1,10,14,38
93,7.75,0.0,0.0,0.0,standard,1,6,14,38,1,6,14,38
94,7.833333333333333,0.0,0.0,0.0,standard,1,8,15,41,1,8,15,41
95,7.916666666666667,0.0,0.0,0.0,standard,1,12,13,34,1,12,13,34
96,8.0,0.0,0.0,0.0,standard,1,12,15,38,1,12,15,38
97,8.083333333333334,0.0,0.0,0.0,standard,1,12,23,65,1,12,23,65
98,8.166666666666666,0.0,0.0,0.0,standard,1,17,23,60,1,17,23,60
99,8.25,0.0,0.0,0.0,standard,1,8,11,30,1,8,11,30
100,8.333333333333334,0.0,0.0,0.0,standard,1,7,22,58,1,7,22,58
101,8.416666666666666,0.0,0.0,0.0,standard,1,7,23,69,1,7,23,69
102,8.5,0.0,0.0,0.0,standard,1,12,26,81,1,12,26,81
103,8.583333333333334,0.0,0.0,0.0,standard,1,14,35,107,1,14,35,107
104,8.666666666666666,0.0,0.0,0.0,standard,1,12,30,87,1,12,30,87
105,8.75,0.0,0.0,0.0,standard,1,9,21,62,1,9,21,62
106,8.833333333333334,0.0,0.0,0.0,standard,1,15,31,93,1,15,31,93
107,8.916666666666666,0.0,0.0,0.0,standard,1,9,22,66,1,9,22,66
108,9.0,0.0,0.0,0.0,standard,1,12,13,39,1,12,13,39
109,9.083333333333334,0.0,0.0,0.0,standard,1,12,13,34,1,12,13,34
110,9.166666666666666,0.0,0.0,0.0,standard,1,11,11,26,1,11,11,26
111,9.25,0.0,0.0,0.0,standard,1,8,8,24,1,8,8,24
112,9.333333333333334,0.0,0.0,0.0,standard,1,9,22,67,1,9,22,67
113,9.416666666666666,0.0,0.0,0.0,standard,1,11,32,99,1,11,32,99
114,9.5,0.0,0.0,0.0,standard,1,8,16,41,1,8,16,41
115,9.583333333333334,0.0,0.0,0.0,standard,1,8,17,53,1,8,17,53
116,9.666666666666666,0.0,0.0,0.0,standard,1,10,20,61,1,10,20,61
117,9.75,0.0,0.0,0.0,standard,1,10,29,80,1,10,29,80
118,9.833333333333334,0.0,0.0,0.0,standard,1,11,20,51,1,11,20,51
119,9.916666666666666,0.0,0.0,0.0,standard,1,10,26,66,1,10,26,66
120,10.0,0.0,0.0,0.0,standard,1,10,16,37,1,10,16,37
121,10.083333333333334,0.0,0.0,0.0,standard,1,7,23,63,1,7,23,63
122,10.166666666666666,0.0,0.0,0.0,standard,1,9,24,77,1,9,24,77
123,10.25,0.0,0.0,0.0,standard,1,10,22,62,1,10,22,62
124,10.333333333333334,0.0,0.0,0.0,standard,1,8,15,46,1,8,15,46
125,10.416666666666666,0.0,0.0,0.0,standard,1,10,32,99,1,10,32,99
126,10.5,0.0,0.0,0.0,standard,1,14,64,202,1,14,64,202
127,10.583333333333334,0.0,0.0,0.0,standard,1,8,24,72,1,8,24,72
128,10.666666666666666,0.0,0.0,0.0,standard,1,7,37,114,1,7,37,114
129,10.75,0.0,0.0,0.0,standard,1,13,27,81,1,13,27,81
130,10.833333333333334,0.0,0.0,0.0,standard,1,12,13,39,1,12,13,39
131,10.916666666666666,0.0,0.0,0.0,standard,1,9,10,30,1,9,10,30
132,11.0,0.0,0.0,0.0,standard,1,7,8,24,1,7,8,24
133,11.083333333333334,0.0,0.0,0.0,standard,1,8,8,22,1,8,8,22
134,11.166666666666666,0.0,0.0,0.0,standard,1,7,7,16,1,7,7,16
135,11.25,0.0,0.0,0.0,standard,1,7,7,18,1,7,7,18
136,11.333333333333334,0.0,0.0,0.0,standard,1,8,8,24,1,8,8,24
137,11.416666666666666,0.0,0.0,0.0,standard,1,8,8,22,1,8,8,22
138,11.5,0.0,0.0,0.0,standard,1,8,8,19,1,8,8,19
139,11.583333333333334,0.0,0.0,0.0,standard,1,10,11,27,1,10,11,27
140,11.666666666666666,0.0,0.0,0.0,standard,1,10,16,48,1,10,16,48
141,11.75,0.0,0.0,0.0,standard,1,9,17,51,1,9,17,51
142,11.833333333333334,0.0,0.0,0.0,standard,1,10,16,48,1,10,16,48
143,11.916666666666666,0.0,0.0,0.0,standard,1,7,20,59,1,7,20,59
144,12.0,0.0,0.0,0.0,standard,1,9,23,74,1,9,23,74
145,12.083333333333334,0.0,0.0,0.0,standard,1,8,28,90,1,8,28,90
146,12.166666666666666,0.0,0.0,0.0,standard,1,10,35,109,1,10,35,109
147,12.25,0.0,0.0,0.0,standard,1,11,46,140,1,11,46,140
148,12.333333333333334,0.0,0.0,0.0,standard,1,9,68,218,1,9,68,218
149,12.416666666666666,0.0,0.0,0.0,standard,1,9,36,111,1,9,36,111
150,12.5,0.0,0.0,0.0,standard,1,8,43,131,1,8,43,131
151,12.583333333333334,0.0,0.0,0.0,standard,1,10,24,72,1,10,24,72
152,12.666666666666666,0.0,0.0,0.0,standard,1,10,21,63,1,10,21,63
153,12.75,0.0,0.0,0.0,standard,1,12,16,47,1,12,16,47
154,12.833333333333334,0.0,0.0,0.0,standard,1,10,11,29,1,10,11,29
155,12.916666666666666,0.0,0.0,0.0,standard,1,9,12,35,1,9,12,35
156,13.0,0.0,0.0,0.0,standard,1,7,8,24,1,7,8,24
157,13.083333333333334,0.0,0.0,0.0,standard,1,8,8,24,1,8,8,24
158,13.166666666666666,0.0,0.0,0.0,standard,1,11,13,37,1,11,13,37
159,13.25,0.0,0.0,0.0,standard,1,10,11,31,1,10,11,31
160,13.333333333333334,0.0,0.0,0.0,standard,1,10,11,33,1,10,11,33
161,13.416666666666666,0.0,0.0,0.0,standard,1,10,11,33,1,10,11,33
162,13.5,0.0,0.0,0.0,standard,1,8,16,48,1,8,16,48
163,13.583333333333334,0.0,0.0,0.0,standard,1,8,20,60,1,8,20,60
164,13.666666666666666,0.0,0.0,0.0,standard,1,10,18,54,1,10,18,54
165,13.75,0.0,0.0,0.0,standard,1,9,23,75,1,9,23,75
166,13.833333333333334,0.0,0.0,0.0,standard,1,10,21,65,1,10,21,65
167,13.916666666666666,0.0,0.0,0.0,standard,1,11,20,63,1,11,20,63
168,14.0,0.0,0.0,0.0,standard,1,7,35,108,1,7,35,108
169,14.083333333333334,0.0,0.0,0.0,standard,1,10,78,251,1,10,78,251
170,14.166666666666666,0.0,0.0,0.0,standard,1,9,40,122,1,9,40,122
171,14.25,0.0,0.0,0.0,standard,1,5,41,125,1,5,41,125
172,14.333333333333334,0.0,0.0,0.0,standard,1,7,24,72,1,7,24,72
173,14.416666666666666,0.0,0.0,0.0,standard,1,8,9,27,1,8,9,27
174,14.5,0.0,0.0,0.0,standard,1,8,11,33,1,8,11,33
175,14.583333333333334,0.0,0.0,0.0,standard,1,9,10,29,1,9,10,29
176,14.666666666666666,0.0,0.0,0.0,standard,1,10,11,30,1,10,11,30
177,14.75,0.0,0.0,0.0,standard,1,9,12,36,1,9,12,36
178,14.833333333333334,0.0,0.0,0.0,standard,1,10,13,38,1,10,13,38
