target,variable,spearman_rho,abs_spearman_rho
log10_eta_inertia,forcing_time,-0.5098074499000186,0.5098074499000186
log10_eta_inertia,relative_speed,-0.5079822354804556,0.5079822354804556
log10_eta_inertia,ice_speed,0.43132376132230943,0.43132376132230943
log10_eta_inertia,h,0.35655330666338325,0.35655330666338325
log10_eta_inertia,cd,-0.21892745070281863,0.21892745070281863
log10_eta_inertia,wind_scale,-0.1589869157009673,0.1589869157009673
log10_eta_inertia,velocity_length,-0.042406182746515454,0.042406182746515454
log10_eta_inertia,stress_length,0.007680033508200084,0.007680033508200084
log10_eta_vp,h,0.9567667009929167,0.9567667009929167
log10_eta_vp,stress_length,-0.2554662910121657,0.2554662910121657
log10_eta_vp,relative_speed,-0.1138432836176082,0.1138432836176082
log10_eta_vp,cd,-0.05050624323926561,0.05050624323926561
log10_eta_vp,wind_scale,-0.045305994038264984,0.045305994038264984
log10_eta_vp,ice_speed,-0.01703349198208373,0.01703349198208373
log10_eta_vp,velocity_length,-0.010862161597655405,0.010862161597655405
log10_eta_vp,forcing_time,0.010125170641312927,0.010125170641312927
