step,time_seconds,time_hours,chi,ice_inertia_weight,ice_coriolis_weight,mean_thickness_m,center_thickness_m,minimum_thickness_m,maximum_thickness_m,ice_volume_m3,ice_volume_relative_error,maximum_ice_speed_mps,maximum_ocean_speed_mps,mean_sea_surface_m,ice_residual,gmres_residual,coupling_residual,water_residual,water_residual_xi,water_residual_u,water_residual_v,helmholtz_residual,drag_closure_error,drag_face_l1_closure_error,drag_object_reused,maximum_inactive_drag,thickness_cfl_macro,thickness_substeps
10,3000.0,0.8333333333333334,0.0,0.0,0.0,0.5,0.514148955449938,0.008104586111812927,0.837544112861558,100000000.0,0.0,0.15835890169155917,0.0025670606321166476,-2.2279955658177643e-16,0.0001299785927870055,1.0587440755374108e-09,9.853996878506006e-06,9.970549506521354e-09,6.3643698582920625e-12,6.799450985809952e-09,9.970549506521354e-09,1.1262343701015589e-13,0.0,0.0,True,0.0,0.34014573458746317,1
11,3300.0,0.9166666666666666,0.0,0.0,0.0,0.5,0.5155392654599124,0.0053612635489868905,0.8429847664744027,100000000.0,0.0,0.15921411500870505,0.0029380468389927374,-2.439826118916244e-16,0.00024017851815006462,5.604612494038903e-10,2.4993663730565213e-06,4.542994176288116e-09,4.501970148581761e-12,2.2607985360250634e-09,4.542994176288116e-09,1.1789367129364737e-13,0.0,0.0,True,0.0,0.340207880444383,1
12,3600.0,1.0,0.0,0.0,0.0,0.5,0.5169265423393217,0.00354653359924664,0.8442027187662402,100000000.0,0.0,0.1583639733011414,0.0032989132787493054,-2.6536550734590493e-16,0.0008092167264638295,4.404264132014126e-10,9.359489672100751e-06,3.6742752940765464e-09,5.791489677101711e-12,1.3477878106941341e-09,3.6742752940765464e-09,1.227848197954694e-13,0.0,0.0,True,0.0,0.340198918853891,1
13,3900.0,1.0833333333333333,0.0,0.0,0.0,0.5,0.5183104184018266,0.0023460779239344726,0.8466572779370319,100000000.0,0.0,0.15881011078925525,0.0036486734436885567,-2.8752555891742303e-16,0.00020921774491702893,3.880683426061026e-09,9.803868186118368e-06,5.120566444943975e-09,1.3074353039492821e-11,2.928351401682582e-09,5.120566444943975e-09,1.238964347523817e-13,0.0,0.0,True,0.0,0.3401523269073137,1
14,4200.0,1.1666666666666667,0.0,0.0,0.0,0.5,0.5196906205015488,0.0015519658242961155,0.8493138444322912,100000000.0,0.0,0.1589146238121772,0.004011966535853845,-3.0890845437170355e-16,0.0005200471368819676,1.8655373774469166e-09,6.668498697032646e-06,4.952437656095299e-09,5.8129999860034356e-11,2.745252507395401e-09,4.952437656095299e-09,1.2048022713879226e-13,0.0,0.0,True,0.0,0.3402744420147424,1
15,4500.0,1.25,0.0,0.0,0.0,0.5000000000000001,0.5210669966432107,0.001026650583211187,0.8516561422064588,100000000.00000001,1.4901161193847657e-16,0.15914520657959733,0.004372644187117775,-3.304689855099241e-16,0.0003020380143090024,4.27677646047718e-09,9.733660783947912e-06,3.984614716677131e-09,1.605455829116006e-11,1.5365447780576752e-09,3.984614716677131e-09,1.245770657503853e-13,0.0,0.0,True,0.0,0.3408309721135619,1
16,4800.0,1.3333333333333333,0.0,0.0,0.0,0.5,0.5224394687651345,0.0006791462183026661,0.8546182957680191,100000000.0,0.0,0.15899236733712463,0.004710638950372371,-3.5125236053090704e-16,0.0006285361930469413,1.117049465171491e-09,7.363263566981865e-06,3.5515395212860833e-09,1.3958863457618995e-11,2.179398135797381e-10,3.5515395212860833e-09,1.2309603138965764e-13,0.0,0.0,True,0.0,0.3415996054007723,1
17,5100.0,1.4166666666666667,0.0,0.0,0.0,0.5,0.5238079582285297,0.00044926603722972986,0.8569386112403399,100000000.0,0.0,0.15940616346487205,0.00507097383805161,-3.7216896231484496e-16,0.00019812749402733497,2.559851418945993e-09,9.907424371252965e-06,3.878401875823863e-09,1.967507640608631e-11,7.659130409674863e-10,3.878401875823863e-09,1.2153058641688966e-13,0.0,0.0,True,0.0,0.3422088114737138,1
18,5400.0,1.5,0.0,0.0,0.0,0.5,0.5251723387221529,0.00029719631881277767,0.8590429205557628,100000000.0,0.0,0.15990085228522627,0.005439057254481934,-3.928857239543504e-16,0.0005575784997770159,3.680407721100309e-09,9.955997025304026e-06,4.270339620888149e-09,4.647424931918773e-11,1.0510049435967253e-09,4.270339620888149e-09,1.1890129425998723e-13,0.0,0.0,True,0.0,0.3461577527330005,1
19,5700.0,1.5833333333333333,0.0,0.0,0.0,0.5,0.5265324322541423,0.0001965997199687668,0.8609649354700885,100000000.0,0.0,0.15953943688788383,0.005793934698414277,-4.1311398746302076e-16,0.0007518156416958223,1.2463925850753753e-09,8.717013300742387e-06,4.423820126247902e-09,7.232719038970192e-11,8.495604384064282e-10,4.423820126247902e-09,1.207202100099791e-13,0.0,0.0,True,0.0,0.34924798095369874,1
