step,time_hours,accepted_attempt_total_seconds,accepted_outer_coupling_seconds,accepted_coupling_overhead_seconds,accepted_ice_solve_seconds,accepted_matrix_assembly_seconds,accepted_preconditioner_build_seconds,accepted_gmres_seconds,accepted_ice_residual_evaluation_seconds,accepted_ocean_solve_seconds,accepted_thickness_transport_seconds,accepted_force_budget_seconds,accepted_postprocess_seconds,output_capture_seconds,all_attempts_total_seconds
1,0.08333333333333333,19.437335500027984,19.392883400025312,0.05095440015429631,18.911633999901824,4.226553700165823,4.55336010013707,7.031094899983145,3.0268870998406783,0.43029499996919185,0.0002245000214315951,0.042743299971334636,0.00031540001509711146,0.0005929000326432288,19.437335500027984
2,0.16666666666666666,27.793356699985452,27.74487080000108,0.016922300041187555,27.567416200006846,9.512295899854507,8.408297599875368,2.746608100074809,6.747310100006871,0.1605322999530472,0.0005027000443078578,0.04569699999410659,0.000168000056874007,0.0005528000183403492,27.793356699985452
3,0.25,22.49462220002897,22.449492599989753,0.0411527999676764,22.117927699990105,6.414205299981404,6.307719899981748,4.702297499636188,4.584988299931865,0.29041210003197193,0.0002142000012099743,0.043347899976652116,0.0001610000035725534,0.0002982000005431473,22.49462220002897
4,0.3333333333333333,32.83225490001496,32.78624360001413,0.08286310004768893,32.14634479995584,6.196715799567755,4.666795499972068,16.734608300437685,4.439345999970101,0.5570357000106014,0.00021789997117593884,0.044269500009249896,0.00016930000856518745,0.00037260004319250584,32.83225490001496
5,0.4166666666666667,47.08821660000831,47.04099020001013,0.1454047000152059,45.82006339990767,5.798699600389227,5.338215199939441,30.315696000063326,4.256217400135938,1.0755221000872552,0.0003535000141710043,0.04512850003084168,0.00022299995180219412,0.00040530000114813447,128.3556941000279
6,0.5,27.607572100008838,27.562736299994867,0.025304900016635656,27.305665599997155,4.969395199790597,3.542148199514486,15.187930700136349,3.5238215998979285,0.23176579998107627,0.00022559997159987688,0.043269400019198656,0.00016380002489313483,0.00030209997203201056,27.607572100008838
7,0.5833333333333334,19.020094999985304,18.97642750001978,0.07226310018450022,18.38985789997969,3.072285399772227,3.05520019994583,10.085626799904276,2.1208666000165977,0.5143064998555928,0.00026030000299215317,0.04169939999701455,0.00027030002092942595,0.0005185999907553196,19.020094999985304
8,0.6666666666666666,39.081768599979114,39.03068429999985,0.06087789998855442,38.49321699998109,6.718556500272825,4.861545700347051,22.022647099744063,4.773198800045066,0.4765894000302069,0.00024009996559470892,0.04922729998361319,0.00014859996736049652,0.00031749997287988663,39.081768599979114
9,0.75,55.210014800017234,55.16265339998063,0.15570449992083013,53.83171669987496,6.444882699579466,5.250507400021888,37.38841840001987,4.623691200336907,1.175232200184837,0.00048699998296797276,0.04428249999182299,0.00015710003208369017,0.00036200002068653703,55.210014800017234
10,0.8333333333333334,39.21222210000269,39.16084530000808,0.17166410019854084,37.633694000018295,6.633631900069304,5.342390299832914,20.700832200003788,4.827421400405001,1.3554871997912414,0.0002001000102609396,0.04866319999564439,0.00027050002245232463,0.0008741000201553106,39.21222210000269
