step,time_seconds,time_hours,F_I_abs_median,F_I_abs_p95,F_I_abs_maximum,F_C_abs_median,F_C_abs_p95,F_C_abs_maximum,F_sigma_abs_median,F_sigma_abs_p95,F_sigma_abs_maximum,F_D_abs_median,F_D_abs_p95,F_D_abs_maximum,F_W_abs_median,F_W_abs_p95,F_W_abs_maximum,combined_missing_abs_median,combined_missing_abs_p95,combined_missing_abs_maximum,undirected_IC_abs_sum_median,undirected_IC_abs_sum_p95,undirected_IC_abs_sum_maximum,retained_abs_sum_median,retained_abs_sum_p95,retained_abs_sum_maximum,retained_net_abs_median,retained_net_abs_p95,retained_net_abs_maximum,r_IC_corrected_median,r_IC_corrected_p95,r_IC_corrected_maximum,r_Sigma_median,r_Sigma_p95,r_Sigma_maximum,r_net_corrected_median,r_net_corrected_p95,r_net_corrected_maximum,deprecated_FI_plus_FC_abs_median,deprecated_FI_plus_FC_abs_p95,deprecated_FI_plus_FC_abs_maximum,r_IC_deprecated_FI_plus_FC_median,r_IC_deprecated_FI_plus_FC_p95,r_IC_deprecated_FI_plus_FC_maximum,r_net_deprecated_FI_plus_FC_median,r_net_deprecated_FI_plus_FC_p95,r_net_deprecated_FI_plus_FC_maximum,active_center_count_median,active_center_count_p95,active_center_count_maximum
11,3300.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,3.8083593472184246e-05,0.011096444486375433,0.12684704086870704,0.12648942753517212,0.12674748266088565,0.12702799779499907,0.12649110640673517,0.12649110640673517,0.12649110640673517,0.0,0.0,0.0,0.0,0.0,0.0,0.25299261158330705,0.253762688374033,0.2677226529712659,7.383183512635744e-08,3.6230879557069813e-06,0.0012507125938517128,0.0,0.0,0.0,2.918251972026465e-07,1.4520928340307332e-05,0.005115159250948106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0
12,3600.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9629625099754236e-05,0.018404732039115503,0.12977432851226897,0.1264883671007077,0.12673636472262706,0.12704143032067816,0.12649110640673517,0.12649110640673517,0.12649110640673517,0.0,0.0,0.0,0.0,0.0,0.0,0.2529926697202543,0.2537707696552344,0.2663851069471001,1.5754441652263412e-07,6.031661537480721e-06,0.00483295400516591,0.0,0.0,0.0,6.224155866101652e-07,2.3842046218344852e-05,0.01948377301672649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0
13,3900.0,1.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,3.992907639810459e-05,0.05595157212824946,0.12629128578801352,0.1264869178867961,0.12673930450141693,0.12705716991313623,0.12649110640673517,0.12649110640673517,0.12649110640673517,0.0,0.0,0.0,0.0,0.0,0.0,0.25299215492250454,0.253865088493454,0.2689750962315917,2.643132622863897e-10,1.1072475180412522e-06,0.0015748233872502945,0.0,0.0,0.0,1.0455348507734946e-09,4.6200723771155904e-06,0.00798016963188719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0
14,4200.0,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,4.148463947064161e-05,0.06335769154951389,0.1287175781301898,0.12648638938140833,0.12672882645670847,0.12707265533851184,0.12649110640673517,0.12649110640673517,0.12649110640673517,0.0,0.0,0.0,0.0,0.0,0.0,0.25299190451408915,0.2538830821554825,0.2681852848693422,2.6631835285621118e-08,5.855789038096808e-06,0.0023930000357759813,0.0,0.0,0.0,1.0544561974796246e-07,2.506615173008402e-05,0.010573136006945098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0
15,4500.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,4.431597776351496e-05,0.07141375413388465,0.12631057323651204,0.12648475673394566,0.12673272346407788,0.12709634554452334,0.12649110640673517,0.12649110640673517,0.12649110640673517,0.0,0.0,0.0,0.0,0.0,0.0,0.25299165554431646,0.25393647608145614,0.2692451129637461,4.5989713706941754e-10,4.486359778681867e-06,0.0013887211766356088,0.0,0.0,0.0,1.8181577700350088e-09,1.7626204406864658e-05,0.005874262794255384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0
16,4800.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,4.786969027482014e-05,0.0717115333045621,0.1303435006830066,0.12648395410152205,0.12672703566752722,0.1271224875435076,0.12649110640673517,0.12649110640673517,0.12649110640673517,0.0,0.0,0.0,0.0,0.0,0.0,0.2529919659446651,0.2540788162502569,0.2709158909137071,1.49103493192676e-07,2.5688169507548838e-05,0.004035467969937458,0.0,0.0,0.0,5.892981240826109e-07,0.00010799604766036342,0.018527506455398773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0
17,5100.0,1.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,4.979690987211567e-05,0.07201274538597298,0.12685867931245928,0.12648395056983208,0.12673222779200177,0.12715681910969864,0.12649110640673517,0.12649110640673517,0.12649110640673517,0.0,0.0,0.0,0.0,0.0,0.0,0.2529920227874304,0.25420143612692847,0.2724067199729854,2.743062729836549e-10,2.6902627348447206e-06,0.001024578380011729,0.0,0.0,0.0,1.0862895485313382e-09,1.1635842331607154e-05,0.004069052041817451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0
18,5400.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,5.395776284218594e-05,0.07481057683927338,0.12784098524449233,0.1264835499966248,0.12672424620128184,0.12718570397364842,0.12649110640673517,0.12649110640673517,0.12649110640673517,0.0,0.0,0.0,0.0,0.0,0.0,0.25299222980590347,0.2542021158565503,0.27378895653842095,1.8811141612370774e-09,9.012477490647456e-06,0.002073125533273085,0.0,0.0,0.0,7.447175086330415e-09,3.61940509806271e-05,0.008964988313476072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0
19,5700.0,1.5833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,5.656486125831088e-05,0.10315119576896033,0.12787590694150605,0.1264822057064885,0.1267292882150413,0.12722925852918637,0.12649110640673517,0.12649110640673517,0.12649110640673517,0.0,0.0,0.0,0.0,0.0,0.0,0.25299222450619085,0.2542916094240089,0.2747276378690836,3.358403696690104e-08,2.78609824553348e-05,0.004289772254615267,0.0,0.0,0.0,1.3269293736624227e-07,0.00010764605519017691,0.017237269927708906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0
20,6000.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,5.972118239442383e-05,0.11017585889387654,0.12656866711053133,0.1264819517931727,0.12672573629986797,0.12726467184027893,0.12649110640673517,0.12649110640673517,0.12649110640673517,0.0,0.0,0.0,0.0,0.0,0.0,0.25299232677580985,0.25448581056456243,0.27526422141584295,2.493253375587301e-10,8.108991028346002e-06,0.0008213844252882946,0.0,0.0,0.0,9.85471351575126e-10,3.3050411548779183e-05,0.003425788899759212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0
21,6300.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,6.418897667794242e-05,0.11656847019438596,0.1294617055128857,0.12648155827958596,0.12671887521454453,0.127301436124104,0.12649110640673517,0.12649110640673517,0.12649110640673517,0.0,0.0,0.0,0.0,0.0,0.0,0.25299298374865475,0.2546057703131859,0.275696350044224,5.553943711855706e-10,1.8814426975900667e-05,0.003329829015239174,0.0,0.0,0.0,2.195277422673464e-09,7.671812786038314e-05,0.013219364814393883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0
22,6600.0,1.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,6.777125425161336e-05,0.11596365012093247,0.12662366500624936,0.12648058590958763,0.12671143623946549,0.1273277333593572,0.12649110640673517,0.12649110640673517,0.12649110640673517,0.0,0.0,0.0,0.0,0.0,0.0,0.2529928249568971,0.2546567431816749,0.2759973954772411,1.514169097348921e-10,1.003831532973205e-05,0.0012632331260471602,0.0,0.0,0.0,5.985073739278639e-10,4.1675503785421627e-05,0.005886439937872896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0
23,6900.0,1.9166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,7.044241183610188e-05,0.11837140171431966,0.12960066277736923,0.12647945784855347,0.1267035434352927,0.12736474155811076,0.12649110640673517,0.12649110640673517,0.12649110640673517,0.0,0.0,0.0,0.0,0.0,0.0,0.2529931113038402,0.25480331162451114,0.27625538482471107,4.309319507193936e-09,2.744831071123826e-05,0.004100861024349214,0.0,0.0,0.0,1.70334575891109e-08,0.00011887520934295415,0.029264077040560093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0
