step,time_hours,chi,ice_inertia_weight,ice_coriolis_weight,retry_stage,retry_attempts,coupling_iterations,picard_iterations,gmres_iterations,thickness_substeps,all_attempts_coupling_iterations,all_attempts_picard_iterations,all_attempts_gmres_iterations
70,5.833333333333333,0.0,0.0,0.0,reset_aitken,2,4,266,1153,1,4,366,1607
71,5.916666666666667,0.0,0.0,0.0,standard,1,8,204,896,1,8,204,896
72,6.0,0.0,0.0,0.0,reset_aitken,2,8,386,1642,1,8,486,2093
73,6.083333333333333,0.0,0.0,0.0,reset_aitken,2,6,343,1474,1,6,443,1953
74,6.166666666666667,0.0,0.0,0.0,reset_aitken,2,8,301,1279,1,8,401,1721
75,6.25,0.0,0.0,0.0,reset_aitken,2,8,364,1603,1,8,464,2078
76,6.333333333333333,0.0,0.0,0.0,reset_aitken,2,6,516,2192,1,6,616,2659
77,6.416666666666667,0.0,0.0,0.0,reset_aitken,2,6,314,1354,1,6,414,1805
78,6.5,0.0,0.0,0.0,reset_aitken,2,8,246,1074,1,8,346,1520
79,6.583333333333333,0.0,0.0,0.0,standard,1,5,189,899,1,5,189,899
80,6.666666666666667,0.0,0.0,0.0,reset_aitken,2,8,396,1659,1,8,496,2100
81,6.75,0.0,0.0,0.0,reset_aitken,2,6,300,1310,1,6,400,1775
82,6.833333333333333,0.0,0.0,0.0,reset_aitken,2,8,264,1159,1,8,364,1610
83,6.916666666666667,0.0,0.0,0.0,reset_aitken,2,6,322,1438,1,6,422,1905
84,7.0,0.0,0.0,0.0,reset_aitken,2,8,327,1424,1,8,427,1883
85,7.083333333333333,0.0,0.0,0.0,reset_aitken,2,8,276,1239,1,8,376,1700
86,7.166666666666667,0.0,0.0,0.0,standard,1,8,204,929,1,8,204,929
87,7.25,0.0,0.0,0.0,reset_aitken,2,5,266,1177,1,5,366,1637
88,7.333333333333333,0.0,0.0,0.0,standard,1,6,215,970,1,6,215,970
89,7.416666666666667,0.0,0.0,0.0,standard,1,8,210,914,1,8,210,914
90,7.5,0.0,0.0,0.0,reset_aitken,2,5,300,1381,1,5,400,1859
91,7.583333333333333,0.0,0.0,0.0,reset_aitken,2,8,299,1314,1,8,399,1767
92,7.666666666666667,0.0,0.0,0.0,standard,1,8,218,1001,1,8,218,1001
93,7.75,0.0,0.0,0.0,standard,1,8,215,962,1,8,215,962
94,7.833333333333333,0.0,0.0,0.0,standard,1,10,179,831,1,10,179,831
95,7.916666666666667,0.0,0.0,0.0,standard,1,8,186,851,1,8,186,851
96,8.0,0.0,0.0,0.0,standard,1,8,222,1003,1,8,222,1003
97,8.083333333333334,0.0,0.0,0.0,reset_aitken,2,4,272,1237,1,4,372,1716
98,8.166666666666666,0.0,0.0,0.0,reset_aitken,2,8,330,1469,1,8,430,1922
99,8.25,0.0,0.0,0.0,standard,1,8,191,896,1,8,191,896
100,8.333333333333334,0.0,0.0,0.0,standard,1,8,203,1049,1,8,203,1049
101,8.416666666666666,0.0,0.0,0.0,reset_aitken,2,8,264,1340,1,8,364,1852
102,8.5,0.0,0.0,0.0,standard,1,8,209,926,1,8,209,926
103,8.583333333333334,0.0,0.0,0.0,standard,1,6,194,1082,1,6,194,1082
104,8.666666666666666,0.0,0.0,0.0,standard,1,8,195,945,1,8,195,945
105,8.75,0.0,0.0,0.0,standard,1,8,181,934,1,8,181,934
106,8.833333333333334,0.0,0.0,0.0,standard,1,10,206,1071,1,10,206,1071
107,8.916666666666666,0.0,0.0,0.0,standard,1,8,160,743,1,8,160,743
108,9.0,0.0,0.0,0.0,standard,1,10,155,748,1,10,155,748
109,9.083333333333334,0.0,0.0,0.0,standard,1,8,201,1025,1,8,201,1025
110,9.166666666666666,0.0,0.0,0.0,standard,1,10,175,875,1,10,175,875
111,9.25,0.0,0.0,0.0,standard,1,10,186,960,1,10,186,960
112,9.333333333333334,0.0,0.0,0.0,reset_aitken,2,8,234,1151,1,8,334,1659
113,9.416666666666666,0.0,0.0,0.0,standard,1,6,181,951,1,6,181,951
114,9.5,0.0,0.0,0.0,standard,1,5,229,1133,1,5,229,1133
115,9.583333333333334,0.0,0.0,0.0,reset_aitken,2,11,287,1416,1,11,387,1949
116,9.666666666666666,0.0,0.0,0.0,standard,1,7,216,1123,1,7,216,1123
117,9.75,0.0,0.0,0.0,standard,1,6,213,1137,1,6,213,1137
118,9.833333333333334,0.0,0.0,0.0,reset_aitken,2,11,243,1280,1,11,343,1810
119,9.916666666666666,0.0,0.0,0.0,standard,1,8,180,950,1,8,180,950
120,10.0,0.0,0.0,0.0,reset_aitken,2,11,302,1441,1,11,402,1942
121,10.083333333333334,0.0,0.0,0.0,standard,1,10,190,1029,1,10,190,1029
122,10.166666666666666,0.0,0.0,0.0,standard,1,11,205,1086,1,11,205,1086
123,10.25,0.0,0.0,0.0,standard,1,11,182,975,1,11,182,975
124,10.333333333333334,0.0,0.0,0.0,standard,1,6,178,943,1,6,178,943
125,10.416666666666666,0.0,0.0,0.0,reset_aitken,2,8,293,1544,1,8,393,2083
126,10.5,0.0,0.0,0.0,standard,1,6,222,1151,1,6,222,1151
127,10.583333333333334,0.0,0.0,0.0,reset_aitken,2,11,274,1513,1,11,374,2085
128,10.666666666666666,0.0,0.0,0.0,reset_aitken,2,14,289,1642,1,14,389,2244
129,10.75,0.0,0.0,0.0,reset_aitken,2,8,296,1552,1,8,396,2111
130,10.833333333333334,0.0,0.0,0.0,reset_aitken,2,8,302,1601,1,8,402,2147
131,10.916666666666666,0.0,0.0,0.0,reset_aitken,2,18,289,1505,1,18,389,2035
132,11.0,0.0,0.0,0.0,reset_aitken,2,11,297,1622,1,11,397,2188
133,11.083333333333334,0.0,0.0,0.0,reset_aitken,2,23,299,1692,1,23,399,2294
134,11.166666666666666,0.0,0.0,0.0,reset_aitken,2,6,341,1997,1,6,441,2628
135,11.25,0.0,0.0,0.0,reset_aitken,2,18,371,2277,1,18,471,2908
136,11.333333333333334,0.0,0.0,0.0,reset_aitken,2,6,472,2669,1,6,572,3298
137,11.416666666666666,0.0,0.0,0.0,reset_aitken,2,15,351,2138,1,15,451,2763
138,11.5,0.0,0.0,0.0,reset_aitken,2,10,269,1562,1,10,369,2163
139,11.583333333333334,0.0,0.0,0.0,reset_aitken,2,11,276,1450,1,11,376,1976
140,11.666666666666666,0.0,0.0,0.0,reset_aitken,2,8,329,1818,1,8,429,2405
